Rank,Team,Conference,Division,Wins,Losses,Win Percentage,Mov,Off Rtg,Def Rtg,Net Rtg,Adj MOV,Adj Off Rtg,Adj Def Rtg,Adj Net Rtg,Date
1,Los Angeles Lakers,W,P,10,3,0.769,10.54,115.6,105.18,10.43,9.47,115.95,106.4,9.55,1/14/2021
2,Milwaukee Bucks,E,C,8,4,0.667,11.42,118.79,107.76,11.03,9.09,119.11,110.55,8.56,1/14/2021
3,Dallas Mavericks,W,SW,6,4,0.6,5,111.4,105.75,5.65,5.82,111.32,104.65,6.67,1/14/2021
4,Brooklyn Nets,E,A,7,6,0.538,5.69,115.7,110.13,5.57,5.99,116.47,110.67,5.8,1/14/2021
5,Atlanta Hawks,E,SE,5,5,0.5,4.4,114.14,109.82,4.32,4.43,115.27,111.08,4.2,1/14/2021
6,Phoenix Suns,W,P,7,4,0.636,3.73,114.56,110.51,4.05,2.79,112.34,109.08,3.27,1/14/2021
7,Utah Jazz,W,NW,7,4,0.636,3.55,112.66,108.87,3.8,2.64,112.07,109.34,2.72,1/14/2021
8,Indiana Pacers,E,C,7,4,0.636,4.55,113.23,108.9,4.33,2.72,113.59,111.18,2.41,1/14/2021
9,Boston Celtics,E,A,7,3,0.7,1.8,113.45,111.93,1.51,2.61,113.07,110.88,2.19,1/14/2021
10,Philadelphia 76ers,E,A,8,4,0.667,2.5,109.98,107.52,2.46,2.04,109.27,107.32,1.95,1/14/2021
11,Denver Nuggets,W,NW,5,6,0.455,2.82,117.93,114.97,2.95,1.03,116.78,115.36,1.42,1/14/2021
12,Los Angeles Clippers,W,P,8,4,0.667,1.33,116.73,115.76,0.97,1.48,117.56,116.2,1.36,1/14/2021
13,Charlotte Hornets,E,SE,6,6,0.5,-0.08,108.5,108.34,0.17,1.15,111,109.72,1.28,1/14/2021
14,Memphis Grizzlies,W,SW,5,6,0.455,-1.36,105.94,107.21,-1.27,0.45,107.34,106.97,0.36,1/14/2021
15,Miami Heat,E,SE,4,5,0.444,-1.33,109.12,110.22,-1.11,0.26,109.76,109.41,0.35,1/14/2021
16,Portland Trail Blazers,W,NW,7,4,0.636,2.27,115.9,113.84,2.06,0.21,114.6,114.33,0.27,1/14/2021
17,Houston Rockets,W,SW,3,6,0.333,-1.89,109.9,111.44,-1.54,-0.86,108.86,109.15,-0.29,1/14/2021
18,San Antonio Spurs,W,SW,6,5,0.545,-0.91,109.56,110.48,-0.92,-0.49,110.11,110.57,-0.47,1/14/2021
19,New Orleans Pelicans,W,SW,4,6,0.4,0,108.83,109.17,-0.34,-0.98,108.26,109.6,-1.34,1/14/2021
20,Washington Wizards,E,SE,3,8,0.273,-0.82,114.52,115.09,-0.57,-1.74,114.46,115.88,-1.42,1/14/2021
21,Toronto Raptors,E,A,2,8,0.2,-1.4,110.83,112.11,-1.27,-2.31,111.11,113.35,-2.24,1/14/2021
